iter	Passed	Remaining
0	12	2487
1	21	2080
2	26	1755
3	31	1561
4	36	1422
5	41	1326
6	45	1262
7	50	1211
8	55	1171
9	59	1129
10	63	1095
11	68	1071
12	72	1046
13	77	1026
14	82	1017
15	87	1001
16	91	988
17	96	977
18	101	964
19	105	949
20	109	934
21	114	923
22	118	912
23	123	905
24	128	897
25	133	891
26	137	882
27	142	872
28	146	863
29	150	854
30	155	846
31	160	841
32	164	832
33	169	825
34	173	818
35	178	811
36	183	807
37	187	799
38	192	792
39	196	786
40	201	779
41	205	774
42	210	766
43	215	762
44	220	757
45	224	751
46	229	746
47	233	740
48	238	733
49	243	729
50	247	723
51	252	718
52	257	713
53	261	706
54	265	700
55	270	695
56	274	689
57	279	685
58	284	679
59	288	674
60	293	668
61	297	662
62	302	657
63	307	652
64	311	646
65	315	641
66	320	636
67	325	630
68	329	625
69	333	620
70	338	614
71	342	609
72	347	605
73	352	600
74	357	595
75	361	590
76	366	585
77	371	580
78	375	574
79	379	569
80	383	563
81	387	558
82	392	553
83	396	547
84	401	542
85	405	537
86	410	533
87	416	530
88	421	525
89	426	521
90	430	516
91	435	510
92	439	505
93	443	500
94	447	494
95	452	489
96	456	484
97	460	479
98	465	474
99	469	469
100	473	464
101	478	459
102	482	454
103	487	449
104	491	444
105	495	439
106	499	434
107	504	429
108	508	424
109	513	419
110	517	414
111	521	409
112	525	404
113	530	399
114	535	395
115	539	390
116	544	386
117	549	381
118	554	377
119	558	372
120	562	367
121	567	362
122	571	357
123	575	352
124	579	347
125	583	342
126	588	338
127	592	333
128	596	328
129	601	323
130	605	319
131	610	314
132	615	309
133	619	305
134	624	300
135	628	295
136	633	291
137	637	286
138	642	282
139	647	277
140	652	272
141	656	268
142	661	263
143	665	258
144	670	254
145	675	249
146	679	244
147	683	240
148	687	235
149	692	230
150	696	226
151	701	221
152	705	216
153	709	212
154	714	207
155	718	202
156	723	198
157	727	193
158	732	189
159	737	184
160	741	179
161	746	175
162	750	170
163	754	165
164	758	160
165	762	156
166	766	151
167	771	146
168	775	142
169	780	137
170	784	133
171	788	128
172	793	123
173	799	119
174	803	114
175	808	110
176	814	105
177	818	101
178	823	96
179	827	91
180	831	87
181	836	82
182	840	78
183	844	73
184	848	68
185	853	64
186	857	59
187	861	55
188	866	50
189	870	45
190	875	41
191	879	36
192	883	32
193	888	27
194	892	22
195	896	18
196	900	13
197	905	9
198	909	4
199	913	0
